File path,Title,Alternative Title 1,Alternative Title 2,Alternative Title 3,Related Resource 1,Related Resource 2,Related Resource 3,Related Resource 4,Related Resource 5,Publication/Origination Info 1,Place 1 Name,Place 1 Source,Local Identifier 1,Language 1,Type,Form/Genre 6 Source,Form/Genre 6 Heading,Form/Genre 5 Source,Form/Genre 5 Heading,Form/Genre 4 Source,Form/Genre 4 Heading,Form/Genre 3 Source,Form/Genre 3 Heading,Form/Genre 2 Source,Form/Genre 2 Heading,Form/Genre 1 Source,Form/Genre 1 Heading,Extent,Description 1 Note,Description 1 Type,Description 2 Note,Description 2 Type,Date 1,Date 1 Type,Date 1 Single,Date 1 Inclusive Start,Date 1 Inclusive End,Copyright Status,Copyright Statement,Contributor 1 Name,Contributor 1 Name Type,Contributor 1 Role,Contributor 2 Name,Contributor 2 Name Type,Contributor 2 Role,Access Restrictions
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no057.220662738723560,$ 三十三間堂棟由来 [Sanjūsangendō munagi no yurai] ; 舞扇南柯話 [Maiōgi Nanka no hanashi],,,,三十三間堂棟由来 [Sanjūsangendō munagi no yurai],舞扇南柯話 [Maiōgi Nanka no hanashi],,,,大坂 : 判木屋金勝 [Osaka : Hangiya Kinkatsu],竹田芝居 [Takeda Shibai] (Theater),,PN2924.5 K3 K33 no.57,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 206 x 149 mm,絵尽２冊綴じ合わせ。１丁：文化元年７月の大西芝居における「粧水絹川堤」、「鬢真鳥実記」の絵尽の一部；表表紙に座元中村宇之助の家紋あり。２ー５丁：文政元年の竹田芝居における「三十三間堂棟由来」、「舞扇南柯話」の絵尽及び役割番付；主な役者：百村百太郎、萩野錦子、嵐国市、中山紋十郎、三枡大五郎。,scopecontent,"2 playbills bound together. Leaf 1: Fragmentary playbill for ""Kewaimizu Kinugawa-zutsumi"" and ""Furitsuke madori jikki"" performed at the Ōnishi Theater in Osaka from the seventh month of Bunka 1 (August, 1804); on front cover: producer Unosuke Nakamura's crest. Leaves 2-5: Playbill for ""Sanjūsangendō munagi no yurai"" and ""Maiōgi Nanka no hanashi"" performed at the Takeda Theater in Osaka in Bunsei 1 (1818); main actors: Hyakutarō Hyakumura, Kinshi Ogino, Kuniichi Arashi, Monjūrō Nakayama and Daigorō Mimasu. ",scopecontent,文政元年 [1818],created,1818,,,publicdomain,Material in the public domain. No restrictions on use.,"百村百松 [Hyakumura, Hyakumatsu], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no077.221301982285979,$ 三拾石艠始 [Sanjikkoku fune no hajimari],,,,三拾石艠始 [Sanjikkoku fune no hajimari],,,,,大坂 : [本屋玉置清七] [Osaka : [Hon'ya Tamaki Seishichi]],大西芝居 [Ōnishi Shibai] (Theater),,PN2924.5 K3 K33 no.77,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],1 leaf (1-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 195 x 139 mm,絵尽３冊綴じ合わせ。１丁：文政８年１０月の北堀江市の側芝居における「長柄長者黄鳥墳」の絵尽の一部；表表紙に座元岩井槌之助の家紋あり。２丁：天保１０年９月の大西芝居における 「三拾石艠始」の絵尽の一部。３ー５丁：文政１０年の若太夫芝居における「長柄長者黄鳥墳」、「義経腰越状」、「助六曲輪釻菊」の絵尽及の一部び役割番付；主な役者：２代目沢村源之助、初代片岡市蔵、中村歌路之助、２代目市川男女蔵、５代目中村十蔵。,scopecontent,"3 playbills bound together. Leaf 1: Fragmentary playbill for ""Nagara chōja uguisuzuka"" performed at the Kitahorie Ichinogawa Theater in Osaka from the tenth month of Bunsei 8 (November, 1825); on front cover: producer Tsuchinosuke Iwai's crest. Leaf 2: Fragmentary playbill for ""Sanjikkoku fune no hajimari"" performed at the Ōnishi Theater in Osaka from the ninth month of Tenpō 10 (October, 1839); Leaves 3-5: Fragmentary playbill for ""Nagara chōja uguisuzuka,"" ""Yoshitsune koshigoejō"" and ""Sukeroku kuruwa no kangiku"" performed at the Wakatayū Theater in Osaka in Bunsei 10 (1827); main actors: Gennosuke Sawamura II, Ichizō Kataoka I, Kajinosuke Nakamura, Omezō Ichikawa II and Jūzō Nakamura V.",scopecontent,"天保10年9月 [October, 1839]",created,1839-10,,,publicdomain,Material in the public domain. No restrictions on use.,"嵐佶太郎 [Arashi, Kichitarō], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no065,三拾石艠始 [Sanjikkoku fune no hajimari] ; 顔見世座附引合歳豊寿正月 [kaomise zatsuki hikiai Toshi mo yutaka shibai hōnen],惣座附引合 [Sōzatsuki hikiai],式三番叟 [Shiki sanbasō],三社 [Sanja],三拾石艠始 [Sanjikkoku fune no hajimari],歳豊寿正月 [Toshi mo yutaka shibai hōnen],,,,大坂 : 本清（本屋玉置清七）[Osaka : Honsei (Hon'ya Tamaki Seishichi) ],若太夫芝居 [Wakatayū Shibai] (Theater),,PN2924.5 K3 K33 no.65,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 206 x 144 mm,文政３年１１月の若太夫芝居における「三拾石艠始」と「歳豊寿正月」の絵尽及び役割番付；主な役者：百村百太郎、５代目榊山四郎太郎、３代目三枡大五郎、３代目尾上芙雀、谷村楯八；表表紙に座元中村福之助の家紋あり。,scopecontent,"Playbill for ""Sanjikkoku fune no hajimari"" and ""Toshi mo yutaka shibai hōnen"" performed at the Wakatayū Theater in Osaka from the eleventh month of Bunsei 3 (December, 1820); main actors: Hyakutarō Hyakumura, Shirotarō Sakakiyama V, Daigorō Mimasu III, Fujaku Onoe III and Tatehachi Tanimura; on front cover: producer Fukunosuke Nakamura's crest.",scopecontent,"文政3年11月 [December, 1820]",created,1820-12,,,publicdomain,Material in the public domain. No restrictions on use.,"中村福之助 [Nakamura, Fukunosuke], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no026,$ 仇討宝永祀 [Usabarashi Hōei matsuri],,,,仇討宝永祀 [Usabarashi Hōei matsuri],,,,,大坂 [Osaka],[unknown] (Theater),,PN2924.5 K3 K33 no.26,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],1 leaf (1-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 203 x 143 mm,絵尽３冊綴じ合わせ。１丁：文政１０年９月の筑後芝居における「敵討高砂松」の絵尽の一部；表表紙に座元嵐理三郎の家紋あり。２丁：文化年間の「仇討宝永祀」の絵尽の一部。３ー５丁：文政８年１０月の北堀江市の側芝居における「長柄長者黄鳥塚」、「梅川忠兵衛」の絵尽の一部；裏表紙に板元「すへよし」の印記あり。,scopecontent,"3 playbills bound together. Leaf 1: Fragmentary playbill for ""Katakiuchi Takasago no matsu"" performed at the Chikugo Theater in Osaka from the ninth month of  Bunsei 10 (October, 1827); on front cover: producer Risaburō Arashi's crest. Leaf 2: Fragmentary playbill for ""Usabarashi Hōei matsuri"" performed in the Bunka era (1804-1818). Leaves 3-5: Fragmentary playbill for ""Nagara chōja uguisuzuka"" and ""Umegawa Chūbē"" performed at the Kita Horie Ichi-no-Gawa Theater in Osaka from the tenth month of Bunsei 8 (November, 1825); on back cover: publisher's stamp ""Sueyoshi.""",scopecontent,文化年間 [1804/1818],created,,1804,1818,publicdomain,Material in the public domain. No restrictions on use.,"[unknown], Producer",,,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no007a,$ 仇討宝永祀 [Usabarashi Hōei matsuri],,,,仇討宝永祀 [Usabarashi Hōei matsuri],,,,,大坂 : 玉置（本屋玉置清七) [Osaka : Tamaki (Hon'ya Tamaki Seishichi) ],角の芝居 [Kado no Shibai] (Theater),,PN2924.5 K3 K33 no.7,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],1 leaf (1-chō) on double leaf (pouch binding/fukurotoji : illustrations ; 203 x 142 mm,絵尽２冊綴じ合わせ。１丁：文政２年の角の芝居における「仇討宝永祀」の絵尽の一部；表表紙に座元中山勝次郎の家紋あり。２ー４丁：寛政１１年１月の中の芝居における「傀儡浅妻船」の絵尽。,scopecontent,"Playbill bound together with ??. Fragmentary playbill for ""Usabarashi Hōei matsuri"" performed at the Kado Theater in Osaka in Bunsei 2 (1819); on front cover: producer Katsujirō Nakayama's crest.",scopecontent,文政2年  [1819],created,1819,,,publicdomain,Material in the public domain. No restrictions on use.,"中山勝治郎 [Nakayama, Katsujirō], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no005,伊賀越乗掛合羽 [Igagoe norikake gappa],義経千本桜 [Yoshitsune senbonzakura],,,伊賀越乗掛合羽 [Igagoe norikake gappa],義経]千本桜  [Yoshitsune] senbonzakura,,,,大坂 : 本清（本屋玉置清七）[Osaka : Honsei (Hon'ya Tamaki Seishichi) ],角の芝居 [Kado no Shibai] (Theater),,PN2924.5 K3 K33 no.5,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 204 x 143 mm,文化年間の角の芝居における「伊賀越乗掛合羽」、「義経千本桜」の絵尽及び役割番付；主な役者：３代目萩野八重桐、初代松本武十郎、谷村楯八；表表紙に座元中山勝次郎の家紋あり。,scopecontent,"Playbill for ""Igagoe norikake gappa"" and ""Yoshitsune senbonzakura"" performed at the Kado Theater in Osaka in the Bunka era (1804-1818); main actors: Yaegiri Ogino III, Takejūrō Matsumoto I and Tatehachi Tanimura; on front cover: producer Katsujirō Nakayama's crest.",scopecontent,文化年間 [1804/1818],created,,1804,1818,publicdomain,Material in the public domain. No restrictions on use.,"中山勝次郎 [Nakayama, Katsujirō], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no004,伊賀越乗掛合羽 [Igagoe norikake gappa],,,,伊賀越乗掛合羽 [Igagoe norikake gappa],道中双六駅路梅 [Dōchū sugoroku ekiro no ume],,,,大坂 : 本清（本屋玉置清七）[Osaka : Honsei (Hon'ya Tamaki Seishichi) ],筑後芝居 [Chikugo no Shibai] (Theater),,PN2924.5 K3 K33 no.4,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 200 x 140 mm,天保５年９月の筑後芝居における「伊賀越乗掛合羽」、「道中双六駅路梅」の絵尽及び役割番付；主な役者：２代目嵐璃寛、３代目市川蝦十郎、初代片岡市蔵、７代目片岡仁左衛門；表表紙に座元嵐橘之助の家紋あり。,scopecontent,"Playbill for ""Igagoe norikake gappa"" and ""Dōchū sugoroku ekiro no ume"" performed at the Chikugo Theater in Osaka from the ninth month of Tenpō 5 (October, 1834); main actors: Rikan Arashi II, Ebijūrō Ichikawa III, Ichizō Kataoka I and Nizaemon Kataoka VII; on front cover: producer Kitsunosuke Arashi's crest.",scopecontent,"天保5年9月 [October, 1834]",created,1834-10,,,publicdomain,Material in the public domain. No restrictions on use.,"嵐橘之助 [Arashi, Kitsunosuke], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no055,けいせい会稽山 [Keisei yukimiru yama],,,,けいせい会稽山 [Keisei yukimiru yama],,,,,大坂 : 間月堂 [Osaka : Kangetsudō],角の芝居 [Kado no Shibai] (Theater),,PN2924.5 K3 K33 no.55,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 201 x 141 mm,寛政１１年１月の角の芝居における「けいせい会稽山」の絵尽；表表紙に座元藤川勝次郎の家紋あり。,scopecontent,"Playbill for ""Keisei yukimiru yama"" performed at the Kado Theater in Osaka from the first month of Kansei 11 (February, 1799); on front cover: producer Katsujirō Fujikawa's crest.",scopecontent,"寛政11年1月 [February, 1799]",created,1799-02,,,publicdomain,Material in the public domain. No restrictions on use.,"藤川勝次郎 [Fujikawa, Katsujirō], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no096,伽羅先代萩 [Meiboku sendaihagi],,,,伽羅先代萩 [Meiboku sendaihagi],臺頭緑色幕 [Dai no gashira midori no iromaku],,,,大坂 : 玉置（本屋玉置清七) [Osaka : Tamaki (Hon'ya Tamaki Seishichi)],筑後芝居 [Chikugo no Shibai] (Theater),,PN2924.5 K3 K33 no.96,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 200 x 140 mm,文政１１年の筑後芝居における「伽羅先代萩」、「臺頭緑色幕」の絵尽及び役割番付；主な役者：２代目尾上多見蔵、初代中山みよし、４代目嵐三勝、２代目市川男女蔵、５代目中村十蔵；表表紙に座元浅尾房之助の家紋あり。,scopecontent,"Playbill for ""Meiboku sendaihagi"" and ""Dai no gashira midori no iromaku"" performed at the Chikugo Theater in Osaka in Bunsei 11 (1828); main actors: Tamizō Onoe II, Miyoshi Nakayama I, Sankatsu Arashi IV, Omezō Ichikawa II and Jūzō Nakamura V; on front cover: producer Fusanosuke Asao's crest.",scopecontent,文政11年 [1828],created,1828,,,publicdomain,Material in the public domain. No restrictions on use.,"浅尾房之助 [Asao, Fusanosuke], Producer",persname,Producer/Zamoto,,,,public
/asset-library/UCLA/eastasian/kabuki/ucla_bib1987273_no095,伽羅先代萩 [Meiboku sendaihagi],,,,伽羅先代萩 [Meiboku sendaihagi],臺頭緑色幕 [Dai no gashira midori no iromaku],,,,大坂 : 玉置（本屋玉置清七）[Osaka : Tamaki (Hon'ya Tamaki Seishichi)] ; 本清（本屋玉置清七）[Honsei (Hon'ya Tamaki Seishichi)],筑後芝居 [Chikugo no Shibai] (Theater),,PN2924.5 K3 K33 no.95,Japanese,text,aat,stencil printing,aat,playbills,aat,woodcuts,local,合羽摺 [kappazuri],local,役割番付 [yakuwari banzuke],local,絵尽 [ezukushi],4 leaves (4-chō) on double leaves (pouch binding/fukurotoji : illustrations ; 203 x 142 mm,文政１１年の筑後芝居における「伽羅先代萩」、「臺頭緑色幕」の絵尽及び役割番付；主な役者：２代目尾上多見蔵、初代中山みよし、４代目嵐三勝、２代目市川男女蔵、５代目中村十蔵；表表紙に座元浅尾房之助の家紋あり。,scopecontent,"Playbill for ""Meiboku sendaihagi"" and ""Dai no gashira midori no iromaku"" performed at the Chikugo Theater in Osaka in Bunsei 11 (1828); main actors: Tamizō Onoe II, Miyoshi Nakayama I, Sankatsu Arashi IV, Omezō Ichikawa II and Jūzō Nakamura V; on front cover: producer Fusanosuke Asao's crest.",scopecontent,文政11年 [1828],created,1828,,,publicdomain,Material in the public domain. No restrictions on use.,"浅尾房之助 [Asao, Fusanosuke], Producer",persname,Producer/Zamoto,,,,public
