Photographer,Number ,,,
"Almeida, Monica",2,,,
"Armstrong, Larry",4,,,
"Atkins, Lacy",9,,,
"Ballard, Kathleen",6,,,
"Barmann, Timothy C.",1,,,
"Barnard, Tony",18,,,
"Barr, John T.",2,,,
"Barrera, Aurelio Jose",2,,,
"Becker, David",1,,,
"Bennett, Bruce, $d 1906-2007",1,,,
"Bessel, Larry",11,,,
"Booth, Thelma",1,,,
"Boston, Bernie",1,,,
"Brown, Frank Q.",9,,,
"Brown, Sarah M.",1,,,
"Browne, Rick",5,,,
"Caccavo, James",1,,,
"Carraro, R.",1,,,
"Carrick, Jack",3,,,
"Chamberlin, Bob",5,,,
"Chase, Harry",8,,,
"Cohen, Cassy",1,,,
"Cooper, Gil",4,,,
"Cormier, Don",12,,,
"Corrales, Rick",1,,,
"Cox, Bruce H.",19,,,
"Dare, Ken",3,,,
"Davis, Larry",2,,,
"Diamos, Marianna",2,,,
"Downing, Larry",2,,,
"Downs, Patrick",3,,,
"Dryden, Ian",1,,,
"Durell, Robert",1,,,
"Dykes, Steve",1,,,
"Edwards, Mike",1,,,
"Finley, Howard, $d b. 1899 or 1900",1,,,
"Flynn, Scott",2,,,
"Fontanini, Steve",10,,,
"Frampton, Mary",14,,,
"Friedman, Gary",6,,,
"Fry, George R.",11,,,
"Gabriel, Robert",4,,,
"Gadbery, Brian",2,,,
"Galvez, Jose",8,,,
"Gaunt, Jack",2,,,
"Gladstone, Penni",5,,,
Goodyear Tire and Rubber Company,1,,,
"Graham, Ray",10,,,
"Gunderson, Judd",8,,,
"Hackley, Gene",5,,,
"Hall, Kari Rene",1,,,
"Hansen, H.Lee",1,,,
"Harnett, Andrew",2,,,
"Hartnett, Martha",2,,,
"Herod, Jack, $d b. ca. 1916",1,,,
"Hively, Ken",4,,,
"Hurley, Ted",1,,,
"Innerarity, Andrew",1,,,
"Jaskol, Ellen",9,,,
"Kamin, Jayne",9,,,
"Kaul, Rosemary",6,,,
"Kelly, Wayne F.",1,,,
"Kelsey, Thomas",5,,,
"Kennedy, Joe",23,,,
"Keyes, Con",4,,,
"Lachman, Robert",2,,,
"Ledford, Duke Emmett, $d 1894-1961",3,,,
"Leffingwell, Randy",3,,,
"Lindbeck, Bob",1,,,
"Lubas, Ken",11,,,
"Lynn, Bob",1,,,
"Mack, Lou",1,,,
"Mally, Michael",4,,,
"Malmin, John",32,,,
"Maple, Christine",1,,,
"Markado, Al",2,,,
"Martin, Barbara",1,,,
"Mathew, Craig T.",1,,,
"McCarthy, Hilaria",1,,,
"McKoy, Kirk",2,,,
"Meadows, Mike",7,,,
"Melcon, Mel",2,,,
"Meyer, Rick",15,,,
"Miller, Jack",1,,,
"Montney, Cal",13,,,
"Murphy, Bill",6,,,
"Murphy, William S.",5,,,
"Olender, Ben",17,,,
"Oliver, R. L.",8,,,
"Olmos, Edward James",1,,,
"Owens, Charles H.",13,,,
Pacific Goldfish Farm,1,,,
"Rapping, Anacleto",1,,,
"Robinson, Julian",1,,,
"Rogers, Art",22,,,
"Romerein, Lisa",3,,,
"Rose, George",7,,,
"Roth, Marissa",1,,,
"Ruhlow, Jerry",2,,,
"Rynearson, Mike",1,,,
"Saxon, Reed",2,,,
"Schneider, Iris",18,,,
"Share, Jeff",2,,,
"Sharkey, Larry",15,,,
"Shepler, Lori",5,,,
"Smith, Gary",1,,,
"Snyder, Bill",35,,,
"Snyder, William Earl, $d 1896-1956",1,,,
"Streano, Vince",1,,,
"Terrell, Maurice",1,,,
"Tiffany, Nelson",4,,,
"Traeger, Marsha",5,,,
"Varie, Bill",9,,,
"Vitti, Joe",1,,,
"Wallace, Gordon Charles, $d 1909-1992",2,,,
"Watson, George R., $d 1892-1977",15,,,
"Whitney, Fitzgerald",17,,,
"Yada, Michael",1,,,
"Yaro, Boris",10,,,
"Yee, Marilynn K.",1,,,
Unknown ,2376,,,
