Geographic Coverage,Number ,,,
"Afghanistan--History--Soviet occupation, 1979-1989--Foreign public opinion, American",1,,,
Alhambra (Calif.),10,,,
Altadena (Calif.),10,,,
Anaheim (Calif.),5,,,
Andrade (Calif.),1,,,
Arcadia (Calif.),55,,,
"Arguello, Point (Calif.)",1,,,
Artesia (Calif.),1,,,
Avalon (Calif.),1,,,
Azusa (Calif.),3,,,
Bakersfield (Calif.),1,,,
"Balboa (Newport Beach, Calif.)",1,,,
"Barnsdall Park (Los Angeles, Calif.)",1,,,
"Bel Air (Los Angeles, Calif.)",3,,,
Bellflower (Calif.),1,,,
Beverly Hills (Calif.),49,,,
Big Sur (Calif.),1,,,
Bouquet Canyon (Calif.),4,,,
Boyle Heights (Calif.),1,,,
"Brentwood (Los Angeles, Calif.)",1,,,
Buena Park (Calif.),2,,,
"Bunker Hill (Los Angeles, Calif.)",2,,,
Burbank (Calif.),9,,,
"Burbank (Los Angeles County, Calif.)",14,,,
"Cahuenga Pass Parkway (Los Angeles, Calif.)",2,,,
Calexico (Calif.),1,,,
California,9,,,
California Highway 1 (Calif.),1,,,
California Route 118 (Calif.)--Design and construction,1,,,
"California, Southern",2,,,
Camarillo (Calif.),8,,,
Cambridge (Mass.),1,,,
Camp Pendleton (Calif.),2,,,
Camp Roberts (Calif.),1,,,
Carson (Calif.),1,,,
Castaic (Calif.),1,,,
"Century City (Los Angeles, Calif.)",9,,,
Cerritos (Calif.),1,,,
Chalfant Valley (Calif.),1,,,
"Chavez Ravine (Los Angeles, Calif.)",2,,,
Chicago (Ill.),1,,,
"Chinatown (Los Angeles, Calif.)",3,,,
"Civic Center (Los Angeles, Calif.)",6,,,
Claremont (Calif.),2,,,
"Colorado Street Bridge (Pasadena, Calif.)",2,,,
Commerce (Calif.),5,,,
Compton (Calif.),9,,,
Coronado (Calif.),1,,,
Costa Mesa (Calif.),1,,,
Cuba--Foreign relations--United States.,1,,,
"Cuba--Politics and government--1959- --Foreign public opinion, American",1,,,
Culver City (Calif.),1,,,
"Culver City (Calif.)--Buildings, structures, etc.",1,,,
Dana Point (Calif.),1,,,
Delano (Calif.),1,,,
Disneyland (Calif.),3,,,
Dockweiler State Park (Calif.),1,,,
Downey (Calif.),8,,,
"Downtown (Los Angeles, Calif.)",10,,,
Dr. Paul Carlson Memorial Park (Calif.),1,,,
"Eagle Rock (Los Angeles, Calif.)",1,,,
East Los Angeles (Calif.),4,,,
East Los Angeles Interchange (Interstate 5 and 10),1,,,
"Echo Park (Los Angeles, Calif.)",4,,,
Edwards Air Force Base (Calif.),1,,,
El Centro (Calif.),3,,,
El Monte (Calif.),2,,,
"El Pueblo de Los Angeles Historical Monument (Los Angeles, Calif.)",2,,,
El Segundo (Calif.),1,,,
"Elysian Park (Los Angeles, Calif.)",4,,,
"Encino (Los Angeles, Calif.)",1,,,
"Exposition Park (Los Angeles, Calif.)",2,,,
"Fargo Street (Los Angeles, Calif.)",1,,,
"Financial District (Los Angeles, Calif.)",1,,,
Flintridge (Calif.),1,,,
Freeport (Tex.),1,,,
Fullerton (Calif.),2,,,
Garden Grove (Calif.),1,,,
Gardena (Calif.),1,,,
"Gladys Park (Los Angeles, Calif.)",1,,,
Glendale (Calif.),22,,,
Grand Canyon (Ariz.),1,,,
"Griffith Park (Los Angeles, Calif.)",2,,,
Hansen Dam (Calif.),1,,,
Harbor Freeway (Calif.),2,,,
Hemet (Calif.),1,,,
"Highland Park (Los Angeles, Calif.)",2,,,
"Hollywood (Los Angeles, Calif.)",39,,,
"Hollywood (Los Angeles, Calif.)--Buildings, structures, etc.",2,,,
"Hollywood Boulevard (Los Angeles, Calif.)",6,,,
"Hollywood Freeway (Los Angeles, Calif.)",1,,,
Hoover Dam (Ariz. and Nev.),1,,,
Huntington Beach (Calif.),2,,,
Huntington Park (Calif.),4,,,
Imperial (Calif.),1,,,
Independence (Calif.),1,,,
Inglewood (Calif.),12,,,
"Inglewood (Calif.)--Buildings, structures, etc.",1,,,
Interstate 10,3,,,
Interstate 110,4,,,
Inyo County (Calif.),2,,,
"Iran--Politics and government--1979-1997--Foreign public opinion, American",2,,,
Irvine (Calif.),1,,,
John Muir Trail (Calif.),2,,,
"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",1,,,
Kern County (Calif.),1,,,
"Korea (South)--Politics and government--1960-1988--Foreign public opinion, American",1,,,
La CaÌÄå±ada (Calif.),1,,,
La CaÌÄå±ada Flintridge (Calif.),4,,,
La Crescenta-Montrose (Calif.),10,,,
Laguna Beach (Calif.),2,,,
Laguna Beach (Calif.),2,,,
Lake Hollywood Reservoir (Calif.),1,,,
Lake View Terrace (Calif.),1,,,
"Las Vegas (Nev.)--Buildings, structures, etc.",1,,,
Leo Carrillo State Beach (Calif.),1,,,
"Lincoln Heights (Los Angeles, Calif.)",5,,,
"Lincoln Park Recreation Center (Los Angeles, Calif.)",1,,,
"Little Tokyo (Los Angeles, Calif.)",3,,,
"Little Tokyo (Los Angeles, Calif.)--Buildings, structures, etc.",1,,,
Long Beach (Calif.),40,,,
Long Beach (Calif.)--Race relations,1,,,
Long Beach Harbor (Calif.),1,,,
Los Angeles (Calif.),1369,,,
"Los Angeles (Calif.)--Anniversaries, etc.",2,,,
"Los Angeles (Calif.)--Buildings, structures, etc.",84,,,
"Los Angeles (Calif.)--Centennial celebrations, etc.",1,,,
Los Angeles (Calif.)--Climate,4,,,
Los Angeles (Calif.)--History,1,,,
Los Angeles (Calif.)--Officials and employees,44,,,
Los Angeles (Calif.)--Officials and employees--Dismissal of,1,,,
Los Angeles (Calif.)--Politics and government,2,,,
Los Angeles (Calif.)--Race relations,2,,,
Los Angeles (Calif.)--Social conditions,4,,,
Los Angeles County (Calif.),14,,,
Los Angeles County (Calif.)--Economic conditions,2,,,
Los Angeles County (Calif.)--Environmental conditions,4,,,
Los Angeles County (Calif.)--Officials and employees,3,,,
"Los Angeles Flower District (Los Angeles, Calif.)",1,,,
Los Angeles Harbor (Calif.),2,,,
