YEAR,"Almeida, Monica","Armstrong, Larry","Atkins, Lacy","Ballard, Kathleen","Barmann, Timothy C.","Barnard, Tony","Barr, John T.","Barrera, Aurelio Jose","Becker, David","Bennett, Bruce, $d 1906-2007","Bessel, Larry","Booth, Thelma","Boston, Bernie","Brown, Frank Q.","Brown, Sarah M.","Browne, Rick","Caccavo, James","Carraro, R.","Carrick, Jack","Chamberlin, Bob","Chase, Harry","Cohen, Cassy","Cooper, Gil","Cormier, Don","Corrales, Rick","Cox, Bruce H.","Dare, Ken","Davis, Larry","Diamos, Marianna","Downing, Larry","Downs, Patrick","Dryden, Ian","Durell, Robert","Dykes, Steve","Edwards, Mike","Finley, Howard, $d b. 1899 or 1900","Flynn, Scott","Fontanini, Steve","Frampton, Mary","Friedman, Gary","Fry, George R.","Gabriel, Robert","Gadbery, Brian","Galvez, Jose","Gaunt, Jack","Gladstone, Penni",Goodyear Tire and Rubber Company,"Graham, Ray","Gunderson, Judd","Hackley, Gene","Hall, Kari Rene","Hansen, H.Lee","Harnett, Andrew","Hartnett, Martha","Herod, Jack, $d b. ca. 1916","Hively, Ken","Hurley, Ted","Innerarity, Andrew","Jaskol, Ellen","Kamin, Jayne","Kaul, Rosemary","Kelly, Wayne F.","Kelsey, Thomas","Kennedy, Joe","Keyes, Con","Lachman, Robert","Ledford, Duke Emmett, $d 1894-1961","Leffingwell, Randy","Lindbeck, Bob","Lubas, Ken","Lynn, Bob","Mack, Lou","Mally, Michael","Malmin, John","Maple, Christine","Markado, Al","Martin, Barbara","Mathew, Craig T.","McCarthy, Hilaria","McKoy, Kirk","Meadows, Mike","Melcon, Mel","Meyer, Rick","Miller, Jack","Montney, Cal","Murphy, Bill","Murphy, William S.","Olender, Ben","Oliver, R. L.","Olmos, Edward James","Owens, Charles H.",Pacific Goldfish Farm,"Rapping, Anacleto","Robinson, Julian","Rogers, Art","Romerein, Lisa","Rose, George","Roth, Marissa","Ruhlow, Jerry","Rynearson, Mike","Saxon, Reed","Schneider, Iris","Share, Jeff","Sharkey, Larry","Shepler, Lori","Smith, Gary","Snyder, Bill","Snyder, William Earl, $d 1896-1956","Streano, Vince","Terrell, Maurice","Tiffany, Nelson","Traeger, Marsha","Varie, Bill","Vitti, Joe","Wallace, Gordon Charles, $d 1909-1992","Watson, George R., $d 1892-1977","Whitney, Fitzgerald","Yada, Michael","Yaro, Boris","Yee, Marilynn K.",Unknown 
3/14/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3/14/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3/14/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3/14/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3/14/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
3/14/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
3/14/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
3/14/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
